annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
ManelS,20260530_205612,census,tvae,0,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T20:56:42.442040
ManelS,20260530_205612,census,tvae,0,C2,20,SYNTHETIC,REAL,False,50,,2026-05-30T20:56:42.442071
ManelS,20260530_205612,census,tvae,1,C1,20,REAL,REAL,True,50,,2026-05-30T20:56:58.428050
ManelS,20260530_205612,census,tvae,1,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:56:58.428087
ManelS,20260530_205612,census,tvae,2,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:57:15.287275
ManelS,20260530_205612,census,tvae,2,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:57:15.287308
ManelS,20260530_205612,census,tvae,3,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T20:57:31.479031
ManelS,20260530_205612,census,tvae,3,C2,20,SYNTHETIC,REAL,False,50,,2026-05-30T20:57:31.479194
ManelS,20260530_205612,census,tvae,4,C1,20,SYNTHETIC,REAL,False,50,,2026-05-30T20:57:48.227037
ManelS,20260530_205612,census,tvae,4,C2,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T20:57:48.227073
ManelS,20260530_205612,census,tvae,5,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:58:01.326717
ManelS,20260530_205612,census,tvae,5,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:58:01.326752
ManelS,20260530_205612,census,tvae,6,C1,20,SYNTHETIC,REAL,False,50,,2026-05-30T20:58:14.977554
ManelS,20260530_205612,census,tvae,6,C2,20,SYNTHETIC,REAL,False,50,,2026-05-30T20:58:14.977589
ManelS,20260530_205612,census,tvae,7,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:58:26.227401
ManelS,20260530_205612,census,tvae,7,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:58:26.227435
ManelS,20260530_205612,census,tvae,8,C1,20,REAL,REAL,True,50,,2026-05-30T20:58:37.627340
ManelS,20260530_205612,census,tvae,8,C2,20,REAL,REAL,True,50,,2026-05-30T20:58:37.627374
ManelS,20260530_205612,census,tvae,9,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:58:48.144842
ManelS,20260530_205612,census,tvae,9,C2,20,REAL,REAL,True,50,,2026-05-30T20:58:48.144878
